,City,Country,Date,Latitude,Longitude,Max Temperature,Humidity,Cloudiness,Wind Speed
0,Ostrovnoy,RU,1631774783,68.0531,39.5131,43.29,96,100,23.64
1,Mahébourg,MU,1631774594,-20.4081,57.7,74.25,78,75,9.22
2,Qaanaaq,GL,1631774553,77.484,-69.3632,15.78,75,100,8.43
3,Zhuhai,CN,1631774501,22.2769,113.5678,91.78,70,20,6.91
4,Cape Town,ZA,1631774529,-33.9258,18.4232,58.12,78,20,4.0
5,Atuona,PF,1631774784,-9.8,-139.0333,78.13,72,3,20.98
6,Flinders,AU,1631774784,-34.5833,150.8552,64.2,67,50,5.01
7,Opuwo,NA,1631774785,-18.0607,13.84,72.09,19,6,2.44
8,Tiksi,RU,1631774785,71.6872,128.8694,43.93,74,100,5.14
9,Pushkinskiye Gory,RU,1631774785,57.0209,28.9103,48.51,62,32,1.05
10,Aykhal,RU,1631774786,66.0,111.5,44.58,51,94,15.03
11,Castro,BR,1631774786,-24.7911,-50.0119,56.32,98,100,6.91
12,Avarua,CK,1631774773,-21.2078,-159.775,75.25,83,75,11.5
13,Saskylakh,RU,1631774786,71.9167,114.0833,42.64,87,100,13.44
14,Constitución,CL,1631774787,-35.3333,-72.4167,49.57,80,0,7.0
15,Albany,US,1631774787,42.6001,-73.9662,63.81,95,100,1.81
16,Vilyuysk,RU,1631774787,63.7553,121.6247,49.62,58,100,7.05
17,Ushuaia,AR,1631774788,-54.8,-68.3,31.66,93,75,27.63
18,Bambous Virieux,MU,1631774788,-20.3428,57.7575,74.21,78,75,9.22
19,Kodinsk,RU,1631774788,58.6881,99.1844,48.25,62,100,3.69
20,Teknāf,BD,1631774789,20.8624,92.3058,85.35,73,99,4.74
21,Busselton,AU,1631774789,-33.65,115.3333,54.05,63,90,20.85
22,Ambon City,ID,1631774789,-3.6954,128.1814,82.54,89,40,4.61
23,Maragogi,BR,1631774789,-9.0122,-35.2225,75.58,79,10,7.38
24,Fallon,US,1631774790,39.4735,-118.7774,73.92,20,1,8.05
25,Kantang,TH,1631774790,7.4054,99.5156,89.69,62,40,4.61
26,Colonelganj,IN,1631774790,27.1333,81.7,72.95,96,100,22.68
27,Punta Arenas,CL,1631774775,-53.15,-70.9167,32.11,74,75,3.44
